"Industry","Month_Start","Monthly_Layoffs","Event_Count","Companies_Affected","Rolling_3Month_Avg","Previous_Month_Layoffs","Next_Month_Layoffs","MoM_Change","MoM_Pct_Change","Cumulative_Layoffs","Rolling_3Month_Total"
Retail,"2024-04-01",609.0,5,5,1182.67,195,,414.0,212.31,70157.0,3548.0
Retail,"2024-03-01",195,1,1,2370.33,2744.0,609.0,-2549.0,-92.89,69548.0,7111.0
Retail,"2024-02-01",2744.0,10,10,2700.0,4172.0,195,-1428.0,-34.23,69353.0,8100.0
Retail,"2024-01-01",4172.0,13,12,2037.0,1184.0,2744.0,2988.0,252.36,66609.0,6111.0
Retail,"2023-12-01",1184.0,6,6,999.0,755.0,4172.0,429.0,56.82,62437.0,2997.0
Retail,"2023-11-01",755.0,9,7,655.67,1058.0,1184.0,-303.0,-28.64,61253.0,1967.0
Retail,"2023-10-01",1058.0,8,8,442.0,154.0,755.0,904.0,587.01,60498.0,1326.0
Retail,"2023-09-01",154.0,3,3,467.67,114.0,1058.0,40.0,35.09,59440.0,1403.0
Retail,"2023-08-01",114.0,5,5,454.67,1135.0,154.0,-1021.0,-89.96,59286.0,1364.0
Retail,"2023-07-01",1135.0,8,8,1340.67,115.0,114.0,1020.0,886.96,59172.0,4022.0
Retail,"2023-06-01",115.0,6,6,1304.0,2772,1135.0,-2657.0,-95.85,58037.0,3912.0
Retail,"2023-05-01",2772,7,7,4774.67,1025.0,115.0,1747.0,170.44,57922.0,14324.0
Retail,"2023-04-01",1025.0,6,6,4367.33,10527.0,2772,-9502.0,-90.26,55150.0,13102.0
Retail,"2023-03-01",10527.0,15,15,7940.33,1550.0,1025.0,8977.0,579.16,54125.0,23821.0
Retail,"2023-02-01",1550.0,12,12,4765.67,11744.0,10527.0,-10194.0,-86.8,43598.0,14297.0
Retail,"2023-01-01",11744.0,25,24,8180.33,1003.0,1550.0,10741.0,1070.89,42048.0,24541.0
Retail,"2022-12-01",1003.0,9,9,4370.0,11794.0,11744.0,-10791.0,-91.5,30304.0,13110.0
Retail,"2022-11-01",11794.0,13,13,4119.0,313.0,1003.0,11481.0,3668.05,29301.0,12357.0
Retail,"2022-10-01",313.0,6,6,966.33,250.0,11794.0,63.0,25.2,17507.0,2899.0
Retail,"2022-09-01",250.0,8,8,1264.67,2336.0,313.0,-2086.0,-89.3,17194.0,3794.0
Retail,"2022-08-01",2336.0,16,16,1918.33,1208.0,250.0,1128.0,93.38,16944.0,5755.0
Retail,"2022-07-01",1208.0,10,9,1353.0,2211.0,2336.0,-1003.0,-45.36,14608.0,4059.0
Retail,"2022-06-01",2211.0,21,20,1096.67,640.0,1208.0,1571.0,245.47,13400.0,3290.0
Retail,"2022-05-01",640.0,6,6,699.67,439,2211.0,201.0,45.79,11189.0,2099.0
Retail,"2022-04-01",439,3,3,486.33,1020.0,640.0,-581.0,-56.96,10549.0,1459.0
Retail,"2022-03-01",1020.0,5,5,436.0,0.0,439,1020.0,,10110.0,1308.0
Retail,"2021-09-01",0.0,1,1,362.67,288,1020.0,-288.0,-100.0,9090.0,1088.0
Retail,"2021-02-01",288,2,2,372.67,800,0.0,-512,-64.0,9090.0,1118.0
Retail,"2021-01-01",800,1,1,276.67,30.0,288,770.0,2566.67,8802.0,830.0
Retail,"2020-11-01",30.0,2,2,70.0,0.0,800,30.0,,8002.0,210.0
Retail,"2020-09-01",0.0,1,1,122.33,180,30.0,-180.0,-100.0,7972.0,367.0
Retail,"2020-08-01",180,2,2,610.33,187.0,0.0,-7.0,-3.74,7972.0,1831.0
Retail,"2020-07-01",187.0,3,3,970.0,1464.0,180,-1277.0,-87.23,7792.0,2910.0
Retail,"2020-06-01",1464.0,5,5,2321.33,1259.0,187.0,205.0,16.28,7605.0,6964.0
Retail,"2020-05-01",1259.0,5,5,2047.0,4241.0,1464.0,-2982.0,-70.31,6141.0,6141.0
Retail,"2020-04-01",4241.0,26,26,2441.0,641.0,1259.0,3600.0,561.62,4882.0,4882.0
Retail,"2020-03-01",641.0,13,13,641.0,,4241.0,,,641.0,641.0
